Aménagement cycle;Aménagement cycle simplifié;Avancement;Sens de circulation vélo;Hors voirie;Nom de la commune;Création de voie pour cycle;Longueur en mètres;Date de mise à jour de la donnée;geo_shape;geo_point_2d
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;147.55011875329203;2021-01-05T02:00:00+01:00;"{""coordinates"": [[5.019802991558077, 47.3265821185183], [5.020677461150559, 47.32621895432148], [5.021448460006865, 47.32605254116252], [5.02156141347872, 47.32602826034318]], ""type"": ""LineString""}";47.326265237675955, 5.020669712419297
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;92.7770038943918;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.065040274831607, 47.32885993164579], [5.065067994046304, 47.32802559040561]], ""type"": ""LineString""}";47.3284427610257, 5.065054134438956
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;93.7119065549135;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.041102171700997, 47.319695340317395], [5.041978462853334, 47.31950561083561], [5.04225159819749, 47.31939223274882]], ""type"": ""LineString""}";47.31956288580196, 5.041682862984817
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;83.1315073991203;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.067918746473002, 47.32730487601239], [5.068592627518979, 47.326713892087284]], ""type"": ""LineString""}";47.32700938404984, 5.0682556869959905
Voie partagée cycles/piétons;Voie partagée cycles/piétons;Réalisé;Deux;NON;Marsannay-la-Côte;;28.869630795006696;2021-02-05T02:00:00+01:00;"{""coordinates"": [[5.0062427581480025, 47.28192323391654], [5.006253773715162, 47.281663648802486]], ""type"": ""LineString""}";47.28179344135951, 5.006248265931582
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;131.23994640439201;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.069528105135699, 47.32460415607891], [5.0695484220948295, 47.32353107062091], [5.069550541497264, 47.32342371467899]], ""type"": ""LineString""}";47.324013934616225, 5.069539283873854
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;66.7986005991892;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.059577996712341, 47.321559527632324], [5.060426276263961, 47.32172785168168]], ""type"": ""LineString""}";47.32164368965701, 5.060002136488151
Bande cyclable;Bande cyclable;Réalisé;Un;NON;Dijon;;158.627720015892;2021-02-01T02:00:00+01:00;"{""coordinates"": [[5.0159941856110635, 47.32459233530555], [5.017680515292291, 47.32387186811489], [5.017759976107661, 47.32382319394136]], ""type"": ""LineString""}";47.324213504812185, 5.016880045107495
Voie partagée cycles/piétons;Voie partagée cycles/piétons;Réalisé;Un;NON;Marsannay-la-Côte;;122.635981021103;2021-02-05T02:00:00+01:00;"{""coordinates"": [[5.001742574731737, 47.27907271308257], [5.001087081792126, 47.278923575680885], [5.000850458445853, 47.27860402807036], [5.000468258243148, 47.2785148219284]], ""type"": ""LineString""}";47.278816678332795, 5.001090783452477
Couloir Bus/Vélo;Couloir Bus;Réalisé;Un;NON;Dijon;;207.767743815348;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.062393525930017, 47.31262917112114], [5.064770002783504, 47.311690742807144]], ""type"": ""LineString""}";47.31215995696414, 5.06358176435676
