Localisation (adresse);Nombre d'arceaux;Type d'attache;Observations;Commune;Année;Type;Nombre d'arceaux supplémentaires;geo_shape;geo_point_2d
21 rue colonel Marchant;2;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0360891916402, 47.326981826982774], ""type"": ""Point""}";47.326981826982774, 5.0360891916402
115 Av Maréchal Lyautey;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0690100001475695, 47.32836833314795], ""type"": ""Point""}";47.32836833314795, 5.0690100001475695
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.035046561739697, 47.328335775999996], ""type"": ""Point""}";47.328335775999996, 5.035046561739697
;2;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.032964734617373, 47.327056484155165], ""type"": ""Point""}";47.327056484155165, 5.032964734617373
4b Maurisse Chaume;2;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.051234171132331, 47.31994432679559], ""type"": ""Point""}";47.31994432679559, 5.051234171132331
Boulevard Maréchal de Lattre de Tassigny;4;Boulonnés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.06786738290877, 47.32240832863426], ""type"": ""Point""}";47.32240832863426, 5.06786738290877
29 Bd de Strasbourg;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.056414887756352, 47.321733030118246], ""type"": ""Point""}";47.321733030118246, 5.056414887756352
75 AV du Drapeau;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044118941593256, 47.3368573587298], ""type"": ""Point""}";47.3368573587298, 5.044118941593256
117 rue Général Fauconnet;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.040690182196921, 47.337081071618584], ""type"": ""Point""}";47.337081071618584, 5.040690182196921
;4;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.061393877867019, 47.322453639196766], ""type"": ""Point""}";47.322453639196766, 5.061393877867019
12bis AV Jean Baptiste Greuze;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.042431161403459, 47.30047039499598], ""type"": ""Point""}";47.30047039499598, 5.042431161403459
1 rue de la Stearinerie;4;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.034034337859978, 47.30751411412811], ""type"": ""Point""}";47.30751411412811, 5.034034337859978
22 Bd Kennedy gymnase;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.032583262620356, 47.30930369142609], ""type"": ""Point""}";47.30930369142609, 5.032583262620356
33rue de Montmuzard;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.062465728541098, 47.325400910456146], ""type"": ""Point""}";47.325400910456146, 5.062465728541098
64 AV du Drapeau;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044568181258302, 47.33727157129176], ""type"": ""Point""}";47.33727157129176, 5.044568181258302
56 AV du Drapeau;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044298895536725, 47.3351333329696], ""type"": ""Point""}";47.3351333329696, 5.044298895536725
40 AV du Drapeau;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.04468504898606, 47.33335970198865], ""type"": ""Point""}";47.33335970198865, 5.04468504898606
en face N°81 rue Général Fauconnet;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.042403760274094, 47.334838635457146], ""type"": ""Point""}";47.334838635457146, 5.042403760274094
43 rue de la Fayette;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.047693405828491, 47.33377092784082], ""type"": ""Point""}";47.33377092784082, 5.047693405828491
13 Bd de Troyes;6;Scellés;;Talant;2023;Existant;;"{""coordinates"": [5.014800407583038, 47.33472082854046], ""type"": ""Point""}";47.33472082854046, 5.014800407583038
7 allée Pablo Picasso;4;;;Dijon;2023;Existant;;"{""coordinates"": [5.030267253429963, 47.33456099539412], ""type"": ""Point""}";47.33456099539412, 5.030267253429963
37 rue d'Esperey;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.057271380957354, 47.33508344815995], ""type"": ""Point""}";47.33508344815995, 5.057271380957354
15 rue Ernest Champeaux stade des Poussots;5;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.061385996233321, 47.3023804595691], ""type"": ""Point""}";47.3023804595691, 5.061385996233321
34 AV Jean Jaurès;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.026175001178649, 47.31052969249192], ""type"": ""Point""}";47.31052969249192, 5.026175001178649
7 place Granville;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.052126437165058, 47.34979846424655], ""type"": ""Point""}";47.34979846424655, 5.052126437165058
51b rue René Cassin;2;Scellés;;Saint-Apollinaire;2023;Existant;;"{""coordinates"": [5.084411469811044, 47.327443135824154], ""type"": ""Point""}";47.327443135824154, 5.084411469811044
Mairie place pierre Meunier;6;Scellés;;Chenôve;2023;Existant;;"{""coordinates"": [5.006258333692322, 47.29388999977447], ""type"": ""Point""}";47.29388999977447, 5.006258333692322
route de Marssanay  sur pavés;2;Scellés;;Chenôve;2023;Existant;;"{""coordinates"": [5.006262256236962, 47.2886862857456], ""type"": ""Point""}";47.2886862857456, 5.006262256236962
place de la liberté;2;Boulonnés;;Chevigny-Saint-Sauveur;2023;Existant;;"{""coordinates"": [5.134579333060193, 47.29856166705893], ""type"": ""Point""}";47.29856166705893, 5.134579333060193
49 rue cassin;2;Scellés;arceau, sol : pavé scellés;Saint-Apollinaire;2023;Existant;;"{""coordinates"": [5.083584390211387, 47.327210428801756], ""type"": ""Point""}";47.327210428801756, 5.083584390211387
;7;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.06951499934767, 47.31537333339637], ""type"": ""Point""}";47.31537333339637, 5.06951499934767
Piscine;;;9 avril  2020;Chevigny-Saint-Sauveur;;Existant;;"{""coordinates"": [5.128369427459121, 47.304339188086495], ""type"": ""Point""}";47.304339188086495, 5.128369427459121
Salle des fêtes;2;;;Bressey-sur-Tille;0;Existant;;"{""coordinates"": [5.181196426549658, 47.305239162864055], ""type"": ""Point""}";47.305239162864055, 5.181196426549658
Mairie;2;;;Bressey-sur-Tille;2008;Existant;;"{""coordinates"": [5.184770002083444, 47.3101853545823], ""type"": ""Point""}";47.3101853545823, 5.184770002083444
Faculté;12;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.066786666708997, 47.311984999923844], ""type"": ""Point""}";47.311984999923844, 5.066786666708997
route de Dijon;8;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.051698332974174, 47.300166666273164], ""type"": ""Point""}";47.300166666273164, 5.051698332974174
2 rue Ernest Bouteiller;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.070614999612966, 47.32596333322259], ""type"": ""Point""}";47.32596333322259, 5.070614999612966
Square;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.070616314718871, 47.325189667845784], ""type"": ""Point""}";47.325189667845784, 5.070616314718871
rue de la vigne aux chiens;3;Scellés;arceaux  scellés;Saint-Apollinaire;2023;Existant;;"{""coordinates"": [5.079760142001409, 47.334290399098464], ""type"": ""Point""}";47.334290399098464, 5.079760142001409
place de la liberté;2;Boulonnés;;Chevigny-Saint-Sauveur;2023;Existant;;"{""coordinates"": [5.134045000095219, 47.29891999976288], ""type"": ""Point""}";47.29891999976288, 5.134045000095219
28 rue Frédéric Chopin;3;Boulonnés;;Dijon;2023;Existant;;"{""coordinates"": [5.042423334201169, 47.30234268806209], ""type"": ""Point""}";47.30234268806209, 5.042423334201169
17 rue de la république;21;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.045045896921188, 47.32712460375737], ""type"": ""Point""}";47.32712460375737, 5.045045896921188
15 place de la république;19;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044825956946172, 47.3271836895339], ""type"": ""Point""}";47.3271836895339, 5.044825956946172
10 AV Garibaldi;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044210278183404, 47.327704705395064], ""type"": ""Point""}";47.327704705395064, 5.044210278183404
14 AV Garibaldi;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044247646760874, 47.32781903466954], ""type"": ""Point""}";47.32781903466954, 5.044247646760874
;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0442402734175555, 47.32789642610522], ""type"": ""Point""}";47.32789642610522, 5.0442402734175555
29 rue Sambin;23;Boulonnés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.041586849766871, 47.32790904308956], ""type"": ""Point""}";47.32790904308956, 5.041586849766871
;13;;;Dijon;2023;Existant;;"{""coordinates"": [5.0718266666738785, 47.3136850004467], ""type"": ""Point""}";47.3136850004467, 5.0718266666738785
;5;;;Dijon;2023;Existant;;"{""coordinates"": [5.071356666952204, 47.31370000032706], ""type"": ""Point""}";47.31370000032706, 5.071356666952204
;7;;;Dijon;2023;Existant;;"{""coordinates"": [5.069690726077349, 47.314203220661945], ""type"": ""Point""}";47.314203220661945, 5.069690726077349
;12;;;Dijon;2023;Existant;;"{""coordinates"": [5.069703333110432, 47.314271666616996], ""type"": ""Point""}";47.314271666616996, 5.069703333110432
;10;;;Dijon;2023;Existant;;"{""coordinates"": [5.067046666379977, 47.31505333305363], ""type"": ""Point""}";47.31505333305363, 5.067046666379977
;3;;;Dijon;2023;Existant;;"{""coordinates"": [5.067661824451235, 47.31570312379276], ""type"": ""Point""}";47.31570312379276, 5.067661824451235
33 rue Sambin;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.042261465824893, 47.32816233780817], ""type"": ""Point""}";47.32816233780817, 5.042261465824893
;12;;;Dijon;2020;Existant;;"{""coordinates"": [5.05054610981306, 47.336052994182204], ""type"": ""Point""}";47.336052994182204, 5.05054610981306
9 rue Jules Ferry;4;Scellés et/ou boulonnés;(scellés 2) et (boulonnés 2);Dijon;2023;Existant;;"{""coordinates"": [5.025468355101928, 47.312171359809554], ""type"": ""Point""}";47.312171359809554, 5.025468355101928
7 rue de Gray;4;Scellés et/ou boulonnés;(scellés 2) et (boulonnés 2);Dijon;2023;Existant;;"{""coordinates"": [5.052355904333601, 47.32262236447914], ""type"": ""Point""}";47.32262236447914, 5.052355904333601
3 rue des Godrans;8;Scellés et/ou boulonnés;(scellés 6) et (boulonnés2);Dijon;2023;Existant;;"{""coordinates"": [5.0390991472132844, 47.3250967704715], ""type"": ""Point""}";47.3250967704715, 5.0390991472132844
23 rue Alfred de Musset;11;Scellés et/ou boulonnés;(scellés 7) et (boulonnés 4);Dijon;2023;Existant;;"{""coordinates"": [5.0482944118601525, 47.31553877017802], ""type"": ""Point""}";47.31553877017802, 5.0482944118601525
14 rue Camille Claudel;10;Scellés et/ou boulonnés;(scellés 4) et (boulonnés 6);Dijon;2023;Existant;;"{""coordinates"": [5.069649778043177, 47.329445182616396], ""type"": ""Point""}";47.329445182616396, 5.069649778043177
9 rue Camille st Saëns;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.029426596731845, 47.33071994389096], ""type"": ""Point""}";47.33071994389096, 5.029426596731845
19 rue de Jouvence;2;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.038669195182935, 47.32986822679169], ""type"": ""Point""}";47.32986822679169, 5.038669195182935
;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.038412186919229, 47.32823318218802], ""type"": ""Point""}";47.32823318218802, 5.038412186919229
école Flammarion;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.062556534350184, 47.33107452441396], ""type"": ""Point""}";47.33107452441396, 5.062556534350184
Faculté;15;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.064680173120904, 47.31255868205967], ""type"": ""Point""}";47.31255868205967, 5.064680173120904
2 rue Charles le Téméraire;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.024814148347525, 47.32989604000028], ""type"": ""Point""}";47.32989604000028, 5.024814148347525
84 AV Victor Hugo;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.022725334794812, 47.33058221674951], ""type"": ""Point""}";47.33058221674951, 5.022725334794812
42 AV Victor Hugo;2;Boulonnés;Boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.026861567553706, 47.328302896193605], ""type"": ""Point""}";47.328302896193605, 5.026861567553706
rue des Jardins des plantes / rue des Faubourgs Raines;8;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.028581666666979, 47.318953333605066], ""type"": ""Point""}";47.318953333605066, 5.028581666666979
AV Jean Jaurès / rue du 5ème Régiment des Tirailleurs;4;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0244816664616625, 47.306883333673326], ""type"": ""Point""}";47.306883333673326, 5.0244816664616625
rue Nelson Mandela / rue du 5ème régiment Tirailleur Marocains;8;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.02664833366727, 47.30624833347347], ""type"": ""Point""}";47.30624833347347, 5.02664833366727
AV Gustave Eiffel Jardin du Château de Larey;2;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.013355000006872, 47.31388166657324], ""type"": ""Point""}";47.31388166657324, 5.013355000006872
rue de l'écluse;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.014203333980065, 47.31696166689586], ""type"": ""Point""}";47.31696166689586, 5.014203333980065
;4;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.03876721041255, 47.33027517212119], ""type"": ""Point""}";47.33027517212119, 5.03876721041255
;2;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0358504995723905, 47.32889682648852], ""type"": ""Point""}";47.32889682648852, 5.0358504995723905
;5;;;Quetigny;;Existant;;"{""coordinates"": [5.10529164905604, 47.319112972022715], ""type"": ""Point""}";47.319112972022715, 5.10529164905604
;2;;;Quetigny;2021;Existant;;"{""coordinates"": [5.122154217705322, 47.31625747121892], ""type"": ""Point""}";47.31625747121892, 5.122154217705322
;8;;un rateau - 17 velos;Quetigny;2020;Existant;;"{""coordinates"": [5.119989846356788, 47.31388875217819], ""type"": ""Point""}";47.31388875217819, 5.119989846356788
;8;;un rateau - 17 vélos;Quetigny;2019;Existant;;"{""coordinates"": [5.117234491258787, 47.31152445177903], ""type"": ""Point""}";47.31152445177903, 5.117234491258787
;2;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.049474163293391, 47.321906701528086], ""type"": ""Point""}";47.321906701528086, 5.049474163293391
coulée verte aire de jeux;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.024086666571652, 47.318781666641996], ""type"": ""Point""}";47.318781666641996, 5.024086666571652
Faculté;24;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.069276667002702, 47.31335500006448], ""type"": ""Point""}";47.31335500006448, 5.069276667002702
Faculté;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.070608332803022, 47.31249000044687], ""type"": ""Point""}";47.31249000044687, 5.070608332803022
Faculté;12;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.071074999741627, 47.311951666564354], ""type"": ""Point""}";47.311951666564354, 5.071074999741627
Faculté;9;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.069383333218668, 47.31035666669356], ""type"": ""Point""}";47.31035666669356, 5.069383333218668
Faculté;12;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0697314336254875, 47.31116950028196], ""type"": ""Point""}";47.31116950028196, 5.0697314336254875
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.049513501868329, 47.32223155425403], ""type"": ""Point""}";47.32223155425403, 5.049513501868329
112 AV Jean Jaurès;4;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.023208333972792, 47.305326666718024], ""type"": ""Point""}";47.305326666718024, 5.023208333972792
2 Bd des Peyvets;4;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.022838215852324, 47.30529276324213], ""type"": ""Point""}";47.30529276324213, 5.022838215852324
33 Bd Fyot;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.014973449698899, 47.308542874554746], ""type"": ""Point""}";47.308542874554746, 5.014973449698899
2 promenade du Rhin;7;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.025264766644642, 47.314340208774894], ""type"": ""Point""}";47.314340208774894, 5.025264766644642
2 place des Mariniers;10;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.024132619454317, 47.31417772943766], ""type"": ""Point""}";47.31417772943766, 5.024132619454317
square rue de Nuit ST Georges;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.017330000423541, 47.30549666695825], ""type"": ""Point""}";47.30549666695825, 5.017330000423541
7 place du 30 octobre;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.052574772929053, 47.32123329632607], ""type"": ""Point""}";47.32123329632607, 5.052574772929053
1 Bd Paul Doumer;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.060800053841853, 47.322457273302355], ""type"": ""Point""}";47.322457273302355, 5.060800053841853
Stade Paul Doumer;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.063999999401554, 47.32295499993466], ""type"": ""Point""}";47.32295499993466, 5.063999999401554
40 AV Aristide Briand;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0537087063479715, 47.334294453388964], ""type"": ""Point""}";47.334294453388964, 5.0537087063479715
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.050654675384377, 47.33196533533445], ""type"": ""Point""}";47.33196533533445, 5.050654675384377
;6;;pince roue;Plombières-lès-Dijon;2019;Existant;;"{""coordinates"": [4.970512555188713, 47.33890735254894], ""type"": ""Point""}";47.33890735254894, 4.970512555188713
;5;;;Dijon;2019;Existant;;"{""coordinates"": [4.992405431357339, 47.32739424373236], ""type"": ""Point""}";47.32739424373236, 4.992405431357339
;1;;;Chenôve;;Existant;1;"{""coordinates"": [5.009209578075001, 47.28975855310004], ""type"": ""Point""}";47.28975855310004, 5.009209578075001
;5;;;Chenôve;;Existant;;"{""coordinates"": [5.011970275160741, 47.28867155444819], ""type"": ""Point""}";47.28867155444819, 5.011970275160741
;4;;;Ahuy;2019;Existant;;"{""coordinates"": [5.023476268047595, 47.36729889477778], ""type"": ""Point""}";47.36729889477778, 5.023476268047595
126 Bd des Bourroches;5;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.01435544294078, 47.312491516156804], ""type"": ""Point""}";47.312491516156804, 5.01435544294078
;;;;Marsannay-la-Côte;;Existant;;"{""coordinates"": [5.003597301747955, 47.279765471542596], ""type"": ""Point""}";47.279765471542596, 5.003597301747955
;4;;;Marsannay-la-Côte;;Existant;;"{""coordinates"": [5.002610100414508, 47.27985984080514], ""type"": ""Point""}";47.27985984080514, 5.002610100414508
;6;;;Marsannay-la-Côte;;Existant;;"{""coordinates"": [4.988840930278283, 47.270270114800965], ""type"": ""Point""}";47.270270114800965, 4.988840930278283
;6;;;Marsannay-la-Côte;;Existant;;"{""coordinates"": [4.994471447195202, 47.278905532497376], ""type"": ""Point""}";47.278905532497376, 4.994471447195202
;;;;Chenôve;;Existant;;"{""coordinates"": [5.006405998189524, 47.292117421835094], ""type"": ""Point""}";47.292117421835094, 5.006405998189524
;8;;;Chenôve;2014;Existant;;"{""coordinates"": [5.00577890876793, 47.29474495257371], ""type"": ""Point""}";47.29474495257371, 5.00577890876793
1014 Avenue du Xxieme siècle;7;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.073871667176899, 47.31130000002152], ""type"": ""Point""}";47.31130000002152, 5.073871667176899
4 Bd Gabriel;10;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0642466672547855, 47.31415500002723], ""type"": ""Point""}";47.31415500002723, 5.0642466672547855
12 Bd de l'Université;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.053508210615157, 47.313268561932084], ""type"": ""Point""}";47.313268561932084, 5.053508210615157
Faculté;4;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.066781190690127, 47.312660732524634], ""type"": ""Point""}";47.312660732524634, 5.066781190690127
Faculté;9;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.063798333832697, 47.31382166634832], ""type"": ""Point""}";47.31382166634832, 5.063798333832697
;5;;un pince vélo - 11 vélos;Quetigny;2019;Existant;;"{""coordinates"": [5.111347133818612, 47.310552861463975], ""type"": ""Point""}";47.310552861463975, 5.111347133818612
;6;;2 pinces vélos - 12 vélos;Quetigny;2019;Existant;;"{""coordinates"": [5.110905494748558, 47.31029144233806], ""type"": ""Point""}";47.31029144233806, 5.110905494748558
;3;;;Quetigny;2019;Existant;;"{""coordinates"": [5.105733838105314, 47.31377968506228], ""type"": ""Point""}";47.31377968506228, 5.105733838105314
3 rue pierre Prud'hon;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.04058055096574, 47.32611188843285], ""type"": ""Point""}";47.32611188843285, 5.04058055096574
;5;;;Quetigny;2019;Existant;;"{""coordinates"": [5.107124180855606, 47.31402469287165], ""type"": ""Point""}";47.31402469287165, 5.107124180855606
;3;;;Quetigny;2019;Existant;;"{""coordinates"": [5.111972271454654, 47.317235423863515], ""type"": ""Point""}";47.317235423863515, 5.111972271454654
69 AV  du Drapeau;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.043923749339644, 47.335513166937794], ""type"": ""Point""}";47.335513166937794, 5.043923749339644
7 allée Pablo Picasso;4;;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0302659125939, 47.33456099562693], ""type"": ""Point""}";47.33456099562693, 5.0302659125939
rue de Beaune en face N°7bis;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.036526865421815, 47.33196043771889], ""type"": ""Point""}";47.33196043771889, 5.036526865421815
30 place Paul et Henriette Dard;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.036054999702163, 47.333723333426555], ""type"": ""Point""}";47.333723333426555, 5.036054999702163
AV des grandes Bergeries square;5;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0439160092761055, 47.307923482896], ""type"": ""Point""}";47.307923482896, 5.0439160092761055
AV Jean Baptiste Greuze parc Colombière;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.044109404939644, 47.30153700291961], ""type"": ""Point""}";47.30153700291961, 5.044109404939644
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.110875071325337, 47.31334270794737], ""type"": ""Point""}";47.31334270794737, 5.110875071325337
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.1108831179715954, 47.313399081386244], ""type"": ""Point""}";47.313399081386244, 5.1108831179715954
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.11055588848338, 47.313608209024565], ""type"": ""Point""}";47.313608209024565, 5.11055588848338
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.110545159304482, 47.3136845857496], ""type"": ""Point""}";47.3136845857496, 5.110545159304482
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.1096213438853315, 47.31387909908015], ""type"": ""Point""}";47.31387909908015, 5.1096213438853315
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.110135552209164, 47.31401846257091], ""type"": ""Point""}";47.31401846257091, 5.110135552209164
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.110570885500661, 47.31397089689679], ""type"": ""Point""}";47.31397089689679, 5.110570885500661
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.110659153659622, 47.31358365897349], ""type"": ""Point""}";47.31358365897349, 5.110659153659622
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.110737115021368, 47.31398897809026], ""type"": ""Point""}";47.31398897809026, 5.110737115021368
place Jean Bouin;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.058413333793474, 47.318970000144866], ""type"": ""Point""}";47.318970000144866, 5.058413333793474
rue Marius Chanteur Gymnase Epirey derrière;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.064237754985598, 47.33724483263095], ""type"": ""Point""}";47.33724483263095, 5.064237754985598
;7;;;Dijon;2023;Existant;;"{""coordinates"": [5.072574999899912, 47.312879999815976], ""type"": ""Point""}";47.312879999815976, 5.072574999899912
Complexe sportif Epirey;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.065865949897602, 47.33770817610715], ""type"": ""Point""}";47.33770817610715, 5.065865949897602
Bd Thier;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.051604921984033, 47.32227573177553], ""type"": ""Point""}";47.32227573177553, 5.051604921984033
4 place du 30 Octobre;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.052888878760618, 47.32181285284726], ""type"": ""Point""}";47.32181285284726, 5.052888878760618
rue Clément Janin square;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.052432093311735, 47.307180716759945], ""type"": ""Point""}";47.307180716759945, 5.052432093311735
Av Docteur petitjean;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.072468333032595, 47.307715000122464], ""type"": ""Point""}";47.307715000122464, 5.072468333032595
allée du Souvenir Français;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.065029999735535, 47.30411333350177], ""type"": ""Point""}";47.30411333350177, 5.065029999735535
rue de la Colombière en face N°36;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.040871287873304, 47.3082247011578], ""type"": ""Point""}";47.3082247011578, 5.040871287873304
Faculté;5;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.072757731329593, 47.312854794425746], ""type"": ""Point""}";47.312854794425746, 5.072757731329593
Faculté;2;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.074174640837415, 47.31245215431074], ""type"": ""Point""}";47.31245215431074, 5.074174640837415
rue Buffon Square Carrelet;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.045097357817471, 47.320465377573626], ""type"": ""Point""}";47.320465377573626, 5.045097357817471
15bis rue Chancelier de l'Hôpital;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.046793019841152, 47.319304180639215], ""type"": ""Point""}";47.319304180639215, 5.046793019841152
3 place Wilson;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.043049578543561, 47.31689853399975], ""type"": ""Point""}";47.31689853399975, 5.043049578543561
2 place Wilson;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.042499358895546, 47.31660673478743], ""type"": ""Point""}";47.31660673478743, 5.042499358895546
entre place Wilson et rue Fevret;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.04235988433157, 47.316381252856786], ""type"": ""Point""}";47.316381252856786, 5.04235988433157
place Wilson square;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.043746680979375, 47.31617250062599], ""type"": ""Point""}";47.31617250062599, 5.043746680979375
1 cours Général de Gaulle;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044192953537004, 47.31545200733317], ""type"": ""Point""}";47.31545200733317, 5.044192953537004
rue de l'île en face N°9;2;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0297277166118075, 47.31449407132215], ""type"": ""Point""}";47.31449407132215, 5.0297277166118075
10 rue Claude Basire;3;;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044938634179744, 47.31698847131515], ""type"": ""Point""}";47.31698847131515, 5.044938634179744
10 Bd Carnot;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.046265274462657, 47.317896324829896], ""type"": ""Point""}";47.317896324829896, 5.046265274462657
29 Bd Carnot;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.048500230837314, 47.31950397713182], ""type"": ""Point""}";47.31950397713182, 5.048500230837314
