Localisation (adresse);Nombre d'arceaux;Type d'attache;Observations;Commune;Année;Type;Nombre d'arceaux supplémentaires;geo_shape;geo_point_2d
;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.041750103827788, 47.329624107832345], ""type"": ""Point""}";47.329624107832345, 5.041750103827788
;2;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.040816666252214, 47.329670000336556], ""type"": ""Point""}";47.329670000336556, 5.040816666252214
;2;Scellés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.040811666772888, 47.329788333107544], ""type"": ""Point""}";47.329788333107544, 5.040811666772888
;10;;;Dijon;2020;Existant;;"{""coordinates"": [5.050197446903039, 47.33601138192198], ""type"": ""Point""}";47.33601138192198, 5.050197446903039
;6;;;Dijon;2020;Existant;;"{""coordinates"": [5.0507365949902105, 47.33603341762545], ""type"": ""Point""}";47.33603341762545, 5.0507365949902105
;34;;;Dijon;2020;Existant;;"{""coordinates"": [5.04951333358441, 47.323569999620105], ""type"": ""Point""}";47.323569999620105, 5.04951333358441
;2;;;Dijon;2020;Existant;;"{""coordinates"": [5.048431666213018, 47.32453666663715], ""type"": ""Point""}";47.32453666663715, 5.048431666213018
60 rue Jeannin;8;Boulonnés;;Dijon;2023;Existant;;"{""coordinates"": [5.0479921583931775, 47.3213157443864], ""type"": ""Point""}";47.3213157443864, 5.0479921583931775
5 rue de l'école du droit;6;Scellés et/ou boulonnés;(scellés 4) et (boulonnés 2);Dijon;2023;Existant;;"{""coordinates"": [5.0424648560264895, 47.319307838602654], ""type"": ""Point""}";47.319307838602654, 5.0424648560264895
35 Bd Maréchal Joffre;5;Scellés et/ou boulonnés;(scellés 1) et (boulonnés 4);Dijon;2023;Existant;;"{""coordinates"": [5.046336662677424, 47.34657920977809], ""type"": ""Point""}";47.34657920977809, 5.046336662677424
rue de la fontaine du Mail gymnas;4;Scellés;;Chenôve;2023;Existant;;"{""coordinates"": [5.0120249018881164, 47.30054807010081], ""type"": ""Point""}";47.30054807010081, 5.0120249018881164
7 rue Parmentier;3;Scellés et/ou boulonnés;(scellés 1) et (boulonnés 2);Dijon;2023;Existant;;"{""coordinates"": [5.0467893339070375, 47.327718187312506], ""type"": ""Point""}";47.327718187312506, 5.0467893339070375
6 rue du Docteur Maret;11;Scellés et/ou boulonnés;(scellés 6) et (boulonnés 5);Dijon;2023;Existant;;"{""coordinates"": [5.03435887700388, 47.32240140815792], ""type"": ""Point""}";47.32240140815792, 5.03435887700388
3 Bd de Champagne;5;Scellés et/ou boulonnés;(scellés 1 ) et (boulonnés 4);Dijon;2023;Existant;;"{""coordinates"": [5.055278774495568, 47.32880867588418], ""type"": ""Point""}";47.32880867588418, 5.055278774495568
26 AV Marechal Foch;17;Scellés et/ou boulonnés;(scellés 7) et (boulonnés 10);Dijon;2023;Existant;;"{""coordinates"": [5.029490132413678, 47.32355772363208], ""type"": ""Point""}";47.32355772363208, 5.029490132413678
21 place de la République;10;Scellés et/ou boulonnés;(scellés é) et (boulonnés 8);Dijon;2023;Existant;;"{""coordinates"": [5.045707479613367, 47.32695423946861], ""type"": ""Point""}";47.32695423946861, 5.045707479613367
